code;url;product_name;brands;stores;nutrition_grade_fr;main_category_fr;countries_fr;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g;image_url;image_small_url;last_modified_t
00099233;http://world-fr.openfoodfacts.org/produit/00099233/cheese-twists-marks-spencer;Cheese Twists;Marks & Spencer;Marks & Spencer;e;Biscuits;France;2155.0;28.7;50.5;2.6;3.3;12.1;1.85;;;1497902705
001151;http://world-fr.openfoodfacts.org/produit/001151/mini-crepes-chocolait-bijou;Mini Crêpes ChocoLait;Bijou;Correspondance;e;Biscuits;France;2018.0;18.0;72.0;48.0;1.7;6.7;0.2;;;1480582546
00156738;http://world-fr.openfoodfacts.org/produit/00156738/milk-chocolate-orange-biscuits-marks-spencer;Milk Chocolate Orange Biscuits;Marks & Spencer;Marks & Spencer;e;Biscuits;France;2142.0;25.7;62.3;48.9;2.5;6.5;0.28;;;1509041692
001664;http://world-fr.openfoodfacts.org/produit/001664/brins-de-chococaramel-bijou;Brins de ChocoCaramel;Bijou;Correspondance;e;Biscuits;France;1960.0;16.0;75.0;50.0;1.0;5.0;0.28;;;1480625309
0039047004931;http://world-fr.openfoodfacts.org/produit/0039047004931/luxury-shortbread-selection-walkers;Luxury Shortbread Selection;Walkers;;e;Biscuits;France;2186.0;28.8;59.4;25.5;1.9;5.6;0.73;;;1510220878
0039047011496;http://world-fr.openfoodfacts.org/produit/0039047011496/pure-butter-chocolate-chip-shortbread-walkers;Pure Butter Chocolate Chip Shortbread;Walkers;;e;Biscuits;France;2168.0;27.6;61.3;25.7;2.0;5.2;0.7;http://fr.openfoodfacts.org/images/products/003/904/701/1496/front.9.400.jpg;http://fr.openfoodfacts.org/images/products/003/904/701/1496/front.9.200.jpg;1446034301
0039047014909;http://world-fr.openfoodfacts.org/produit/0039047014909/pure-butter-chocolate-chip-shortbread-33-free-walkers;Pure butter Chocolate Chip Shortbread (+33% free);Walkers;;e;Biscuits;France;2167.0;27.6;61.3;25.7;2.0;5.2;0.699999999999999;http://fr.openfoodfacts.org/images/products/003/904/701/4909/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/003/904/701/4909/front.5.200.jpg;1495200393
0039047153547;http://world-fr.openfoodfacts.org/produit/0039047153547/biscuits-a-l-avoine-aux-myrtilles-et-a-la-vanille-weight-watchers;Biscuits à l'avoine aux myrtilles et à la vanille;Weight Watchers;;b;Biscuits;France;1881.0;17.2;60.5;18.8;10.9;7.6;0.1;http://fr.openfoodfacts.org/images/products/003/904/715/3547/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/003/904/715/3547/front.5.200.jpg;1507368584
0058089005058;http://world-fr.openfoodfacts.org/produit/0058089005058/biscuits-feuille-d-erable-erabliere-du-moulin;Biscuits Feuille d'Érable;Érabliere du Moulin;;e;Biscuits;France;2092.0;19.8;74.5;46.0;1.1;3.2;0.4064;;;1506633009
0065928001003;http://world-fr.openfoodfacts.org/produit/0065928001003/mini-biscuits-a-l-erable-turkey-hill;Mini-Biscuits à l'Érable;Turkey Hill;;e;Biscuits;France;1980.0;15.8;73.7;19.3;1.75;5.26;2.63;;;1499858270
0072417152924;http://world-fr.openfoodfacts.org/produit/0072417152924/finger-cadbury;Finger;Cadbury;;e;Biscuits;France;2134.0;24.8;63.6;39.3;3.1;6.7;0.41;http://fr.openfoodfacts.org/images/products/007/241/715/2924/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/007/241/715/2924/front.8.200.jpg;1509559845
0072417153181;http://world-fr.openfoodfacts.org/produit/0072417153181/finger-blanc-cadbury;Finger blanc;Cadbury;;e;Biscuits;France;2165.0;27.9;59.7;31.0;1.9;6.1;0.6;http://fr.openfoodfacts.org/images/products/007/241/715/3181/front.6.400.jpg;http://fr.openfoodfacts.org/images/products/007/241/715/3181/front.6.200.jpg;1432381741
